(48.37,11.48)
(42.48,-83.66)
(51.0,6.8)
(48.9,11.3)
(40.18,-77.16)
(38.23,-85.62)
(34.6,-86.8)
(39.9,-75.3)
(42.0,-88.2)
(39.4,-85.0)
(39.1,-76.9)
(38.88,-77.17)
(49.99,8.66)
(38.87,-76.98)
(51.59,4.80)
(38.66,-77.24)
(51.28,1.05)
(38.22,-75.20)
(51.6,5.4)
(49.6,6.1)
(39.7,-89.7)
(40.73,-73.35)
(51.25,7.19)
(39.10,-76.94)
(35.9,-84.1)
(39.9,-74.9)
(39.43,-76.60)
(48.2,12.2)
(50.98,0.10)
(39.93,-74.29)
(41.88,-87.64)
(39.45,-88.31)
(50.95,4.32)
(52.0,5.1)
(32.9,-96.4)
(50.22,8.78)
(50.0,8.2)
(48.64,2.07)
(40.91,-81.39)
(40.5,-76.0)
(51.8,1.2)
(51.80,1.14)
(41.06,-81.69)
(51.7,5.2)
(49.98,8.17)
(39.7,-86.4)
(51.84,4.87)
(49.16,2.88)
(40.4,-86.9)
(49.9,8.4)
(51.9,5.2)
(52.0,4.5)
(50.7,4.4)
(40.16,-82.99)
(41.5,-87.4)
(41.89,-87.64)
(52.7,5.7)
(52.0,5.1)
(40.08,-83.05)
(51.3,6.6)
(43.0,-87.9)
(42.66,-85.76)
(34.0,-84.5)
(48.2,12.2)
(42.2,-84.0)
(51.8,5.2)
(42.9,-85.8)
(38.77,-90.49)
(39.9,-82.9)
(51.65,4.83)
(51.7,5.4)
(41.0,-74.1)
(40.75,-73.88)
(36.84,-86.31)
(51.59,5.08)
(41.70,-88.27)
(52.0,5.1)
(40.97,-74.36)
(40.3,-77.0)
(53.0,8.0)
(40.7,-74.0)
(41.9,-87.7)
(40.64,-75.10)
(39.20,-76.78)
(52.6,6.2)
(39.27,-84.33)
(52.1,5.4)
(39.5,-78.0)
(51.6,-0.7)
(40.18,-83.11)
(41.90,-87.79)
(39.1,-84.7)
(40.09,-74.90)
(41.2,-87.8)
(41.69,-88.37)
(38.53,-89.16)
(40.64,-75.36)
(51.73,3.77)
(52.2,-1.1)
(39.94,-75.15)
(49.8,13.4)
(51.1,2.7)
(51.4,5.4)
(51.95,6.03)
(51.83,4.14)
(40.77,-73.98)
(52.4,5.0)
(52.21,5.96)
(39.38,-84.38)
(52.30,4.86)
(41.9,-88.5)
(48.7,9.2)
(38.70,-86.49)
(35.4,-80.2)
(50.4,8.9)
(40.64,-75.30)
(52.35,4.68)
(51.56,7.46)
(41.4,-74.6)
(49.99,8.75)
(52.13,5.02)
(37.2,-93.3)
(51.6,0.1)
(32.9,-96.4)
(51.9,6.4)
(41.6,-87.8)
(51.09,2.64)
(50.7,4.4)
(52.1,5.1)
(40.79,-74.25)
(52.1,5.1)
(52.38,9.98)
(51.3,6.6)
(49.44,7.80)
(50.0,8.2)
(41.58,-88.17)
(49.5,8.5)
(39.10,-76.94)
(52.58,5.77)
(42.21,-88.09)
(39.17,-77.15)
(39.41,-76.92)
(38.98,-76.49)
(51.14,5.60)
(42.0,-88.2)
(51.9,6.2)
(51.83,4.14)
(40.8,-73.7)
(40.15,-75.12)
(38.27,-85.55)
(40.78,-79.95)
(42.26,-83.89)
(48.0,10.9)
(35.0,-80.8)
(40.32,-75.11)
(52.30,4.86)
(52.07,4.53)
(41.2,-74.7)
(40.05,-74.31)
(38.8,-77.4)
(51.3,4.6)
(41.6,-88.4)
(46.2,8.8)
(50.7,7.3)
(38.24,-85.62)
(49.8,13.4)
(50.8,5.7)
(51.04,5.86)
(49.40,11.13)
(42.20,-88.36)
(51.0,4.5)
(52.41,9.99)
(51.40,-0.25)
(39.0,-77.5)
(41.4,-87.0)
(39.19,-76.93)
(39.7,-86.4)
(51.84,7.68)
(48.02,7.84)
(42.75,-87.89)
(36.0,-86.6)
(51.51,0.43)
(48.81,2.29)
(40.63,-74.04)
(39.48,-77.63)
(40.4,-87.0)
(52.07,4.51)
(51.2,4.5)
(40.4,-74.1)
(26.1,-81.8)
(42.28,-83.76)
(52.41,4.88)
(52.9,6.4)
(42.25,-85.47)
(48.9,9.3)
(41.2,-81.8)
(51.46,5.81)
(49.5,11.1)
(36.2,-85.6)
(48.6,7.8)
(51.6,-0.4)
(39.2,-85.4)
(40.30,-73.98)
(48.9,9.3)
(40.56,-74.27)
(38.94,-77.34)
(51.9,6.0)
(36.0,-86.6)
(42.9,-87.9)
(51.3,-0.7)
(51.18,5.90)
(40.4,-87.0)
(52.05,4.27)
(52.23,6.86)
(40.15,-74.25)
(30.8,-83.3)
(40.77,-73.82)
(41.0,-74.0)
(39.0,-76.9)
(51.67,7.79)
(48.69,3.87)
(49.74,12.29)
(40.35,-79.82)
(51.5,4.4)
(41.0,-74.0)
(51.2,6.4)
(52.71,5.76)
(38.5,-76.6)
(50.63,-1.19)
(33.31,-96.54)
(36.17,-82.83)
(43.21,-88.11)
(50.02,8.68)
(38.9,-77.6)
(39.14,-76.54)
(50.02,8.68)
(52.00,-0.32)
(52.2,4.4)
(48.46,10.31)
(38.1,-85.6)
(39.9,-81.9)
(51.5,5.4)
(41.75,-88.15)
(38.6,-93.3)
(40.06,-75.44)
(39.88,-83.93)
(41.7,-74.2)
(52.51,-0.26)
(39.0,-77.1)
(52.41,4.65)
(39.0,-77.5)
(36.1,-85.5)
(40.69,-74.00)
(41.6,-86.7)
(52.58,5.77)
(41.68,-87.78)
(39.36,-77.06)
(51.7,3.9)
(42.29,-87.88)
(50.0,9.7)
(51.8,1.2)
(52.02,-0.81)
(39.25,-82.48)
(51.2,-0.8)
(51.59,4.80)
(50.1,8.6)
(51.44,6.91)
(38.5,-77.4)
(52.09,-0.53)
(48.03,10.72)
(50.88,3.00)
(49.8,13.4)
(50.1,14.2)
(39.16,-77.29)
(51.59,4.80)
(49.17,6.83)
(41.5,-81.8)
(50.40,7.51)
(39.77,-84.18)
(51.6,0.5)
(42.1,-72.7)
(41.91,-88.36)
(40.75,-73.96)
(51.66,4.94)
(37.1,-79.7)
(39.36,-77.06)
(42.0,-86.5)
(47.95,3.11)
(39.28,-77.90)
(52.49,-0.11)
(39.4,-77.3)
(50.0,9.7)
(33.9,-86.8)
(42.42,-71.11)
(39.15,-76.73)
(51.45,6.38)
(48.67,9.06)
(46.9,7.5)
(52.62,-0.62)
(39.7,-75.8)
(38.9,-76.3)
(51.80,1.14)
(52.2,5.2)
(40.8,-73.7)
(39.26,-76.85)
(52.7,-0.3)
(48.22,10.18)
(52.2,4.4)
(38.8,-77.1)
(43.17,-79.87)
(36.33,-119.64)
(41.25,-76.74)
(39.26,-77.22)
(51.78,6.12)
(51.14,5.60)
(49.5,8.5)
(50.9,-1.0)
(52.0,6.7)
(40.69,-74.07)
(50.86,-1.03)
(42.54,-87.84)
(51.81,-0.21)
(49.78,13.36)
(52.03,4.27)
(42.50,-83.53)
(51.22,6.46)
(51.3,0.5)
(52.8,1.6)
(50.40,7.51)
(52.22,5.17)
(37.26,-90.02)
(50.9,5.3)
(52.16,4.53)
(52.2,6.9)
(36.21,-78.90)
(38.75,-77.07)
(39.4,-79.4)
(37.32,-79.97)
(34.0,-84.2)
(50.3,2.8)
(39.38,-84.38)
(51.37,1.30)
(39.7,-89.7)
(49.08,15.18)
(42.0,-88.2)
(39.9,-82.9)
(52.16,0.58)
(40.12,-88.30)
(33.94,-81.14)
(40.66,-73.99)
(47.29,8.26)
(51.5,6.0)
(40.41,-74.00)
(40.2,-76.4)
(37.5,-77.3)
(42.20,-86.29)
(51.76,5.87)
(40.7,-74.2)
(38.20,-85.73)
(51.00,4.48)
(41.6,-74.2)
(41.95,-87.66)
(51.4,-1.1)
(52.0,5.0)
(48.36,10.94)
(41.38,-73.27)
(41.0,-89.4)
(52.25,0.71)
(42.38,-87.99)
(35.2,-86.2)
(39.9,-77.6)
(41.6,-83.8)
(42.8,-88.9)
(51.44,5.51)
(52.8,5.0)
(50.94,-1.40)
(40.10,-74.76)
(39.4,-78.1)
(42.61,-78.63)
(51.23,6.68)
(51.59,4.80)
(47.52,9.44)
(51.95,5.90)
(51.71,8.78)
(41.87,-87.79)
(38.0,-84.6)
(32.6,-97.3)
(51.95,5.51)
(40.15,-75.45)
(40.06,-75.07)
(50.9,6.9)
(35.03,-81.04)
(43.02,-79.22)
(40.42,-75.84)
(41.07,-73.42)
(41.88,-87.64)
(39.2,-79.0)
(39.05,-76.70)
(52.75,1.56)
(49.53,10.91)
(48.93,2.16)
(41.64,-88.40)
(39.66,-74.97)
(40.21,-74.24)
(40.02,-81.56)
(50.78,7.24)
(53.2,6.5)
(53.28,16.49)
(40.2,-83.1)
(41.1,-73.5)
(39.14,-84.42)
(36.87,-89.57)
(38.87,-77.22)
(51.3,-3.0)
(40.48,-86.89)
(38.9,-77.5)
(41.67,-91.33)
(48.71,8.92)
(38.90,-77.27)
(48.46,11.93)
(51.59,4.80)
(38.8,-77.7)
(50.9,4.5)
(41.1,-74.0)
(52.26,4.50)
(51.59,5.00)
(38.8,-90.2)
(49.8,13.4)
(31.60,-81.88)
(48.81,2.27)
(52.9,1.1)
(51.75,6.28)
(40.55,-74.30)
(38.63,-77.27)
(51.42,-0.94)
(50.00,8.27)
(40.3,-75.3)
(48.45,10.30)
(53.00,6.55)
(51.7,-1.0)
(41.5,-85.9)
(40.0,-86.3)
(52.44,8.46)
(52.55,4.67)
(51.9,0.4)
(41.77,-88.25)
(40.32,-74.41)
(39.22,-84.41)
(40.7,-74.0)
(50.34,4.96)
(52.0,5.9)
(50.1,8.7)
(51.9,0.4)
(40.5,-83.9)
(48.68,10.81)
(51.93,4.58)
(34.0,-119.8)
(51.40,-0.25)
(49.99,8.42)
(51.9,0.9)
(48.4,11.5)
(36.1,-81.1)
(42.06,-87.99)
(38.93,-77.55)
(52.8,-0.2)
(51.71,6.19)
(40.7,-74.0)
(39.62,-82.77)
(41.02,-81.51)
(37.81,-85.97)
(40.72,-74.41)
(51.7,5.4)
(49.17,6.83)
(33.01,-96.92)
(38.88,-77.19)
